name,meaning,gender
Avparaj,Wisdom,Girl
Jarians,Blessing,Boy
Tamajit,Prosperity,Boy
Shatapreet,Grace,Girl
Chapajit,Courage,Boy
Shinin,Joy,Girl
Karaans,Joy,Girl
Ishmaya,Victory,Girl
Sayadeep,Strength,Girl
Larideep,Wisdom,Boy
Dediya,Grace,Girl
Kanedeep,Energy,Boy
Bhriansh,Victory,Girl
Zalaa,Light,Girl
Karuita,Wisdom,Girl
Dipaveer,Hope,Girl
Lavian,Brilliance,Boy
Aatan,Faith,Boy
Aalaya,Peace,Boy
Rayaveer,Kindness,Boy
Shiloali,Peace,Girl
Kirapreet,Energy,Boy
Zakaveer,Peace,Boy
Tashijit,Brilliance,Boy
Mania,Faith,Boy
Tasaansh,Grace,Boy
Prataav,Strength,Girl
Pamaya,Peace,Boy
Bhladev,Prosperity,Girl
Pralait,Prosperity,Girl
Avriesh,Faith,Boy
Baridev,Energy,Boy
Ranepreet,Courage,Boy
Rimipreet,Prosperity,Boy
Palaita,Courage,Boy
Bhpaav,Strength,Girl
Dariit,Harmony,Girl
Aarniansh,Love,Boy
Adimiveer,Love,Boy
Daloali,Kindness,Boy
Jadiali,Wisdom,Boy
Avmia,Kindness,Girl
Ishniesh,Blessing,Girl
Anvaan,Courage,Boy
Aarnadeep,Prosperity,Boy
Tadiika,Courage,Boy
Mashians,Joy,Girl
Viloesh,Love,Boy
Arriika,Love,Boy
Panin,Brilliance,Girl
Sakajit,Light,Girl
Devaveer,Wisdom,Girl
Aasaan,Hope,Boy
Basajit,Courage,Boy
Adidiansh,Courage,Boy
Aarriav,Courage,Boy
Vidia,Divine,Girl
Tataika,Strength,Girl
Arsait,Kindness,Boy
Janiesh,Divine,Girl
Daraav,Light,Girl
Kiviika,Joy,Boy
Chaloay,Blessing,Girl
Pramaali,Love,Boy
Avraan,Joy,Girl
Zaloesh,Victory,Boy
Trishians,Blessing,Boy
Gamiansh,Brilliance,Boy
Sayaav,Peace,Girl
Janiita,Prosperity,Boy
Balaali,Brilliance,Girl
Ishrun,Courage,Girl
Sariveer,Prosperity,Girl
Hamaay,Courage,Girl
Shariveer,Victory,Boy
Janidev,Energy,Boy
Suviesh,Courage,Boy
Kashiay,Light,Girl
Ashradev,Joy,Girl
Tripaika,Wisdom,Girl
Bhraa,Energy,Girl
Tanapreet,Kindness,Girl
Avyadeep,Light,Girl
Rineita,Victory,Boy
Ashshiita,Light,Boy
Kataav,Love,Girl
Arniansh,Light,Boy
Demaika,Wisdom,Boy
Nashipreet,Faith,Boy
Avruika,Brilliance,Boy
Ishvaav,Light,Girl
Anmiveer,Love,Girl
Pramaita,Prosperity,Boy
Aarpapreet,Divine,Boy
Gashiita,Blessing,Boy
Shapaans,Brilliance,Girl
Maripreet,Courage,Girl
Sakaans,Hope,Boy
Yaloesh,Prosperity,Boy
Havaveer,Strength,Girl
Vinaay,Wisdom,Girl
Charian,Courage,Girl
Bhpadev,Peace,Boy
Sasaav,Love,Boy
Shineraj,Love,Girl
Gaviay,Kindness,Girl
Pradiika,Strength,Girl
Aymians,Kindness,Boy
Chavian,Energy,Boy
Hataali,Courage,Girl
Marapreet,Prosperity,Boy
Vanedev,Strength,Girl
Diriveer,Wisdom,Boy
Triyaya,Strength,Girl
Mania,Love,Boy
Yaruay,Strength,Boy
Aydiya,Energy,Girl
Payan,Strength,Girl
Shaladeep,Light,Boy
Rariika,Courage,Boy
Aarloa,Prosperity,Girl
Adimijit,Hope,Boy
Haniansh,Wisdom,Girl
Arriit,Blessing,Girl
Baviav,Harmony,Girl
Aaneit,Brilliance,Boy
Aashidev,Energy,Girl
Ishviita,Prosperity,Boy
Baviansh,Hope,Girl
Tashiita,Love,Boy
Daraesh,Joy,Boy
Rariveer,Prosperity,Boy
Bhpadev,Joy,Girl
Shashiraj,Victory,Girl
Aymiya,Strength,Boy
Taloveer,Divine,Girl
Anvian,Joy,Girl
Tadiveer,Courage,Girl
Hadin,Light,Girl
Adinea,Hope,Girl
Chaloa,Harmony,Boy
Sudiraj,Energy,Boy
Hamipreet,Light,Girl
Adiriita,Peace,Boy
Arrideep,Strength,Girl
Armiesh,Blessing,Boy
Chakaveer,Prosperity,Girl
Yayaraj,Light,Boy
Bataita,Prosperity,Girl
Prariveer,Harmony,Girl
Ayloa,Faith,Girl
Ayriay,Kindness,Girl
Bamaansh,Peace,Boy
Havidev,Hope,Boy
Praviav,Grace,Girl
Arniveer,Energy,Boy
Mavaans,Light,Boy
Zaneveer,Light,Girl
Mavian,Energy,Boy
Paniveer,Courage,Boy
Ladiya,Victory,Girl
Omyaraj,Prosperity,Girl
Pravaika,Energy,Boy
Kimaans,Faith,Boy
Mayaraj,Brilliance,Boy
Yashiika,Courage,Girl
Suyaan,Hope,Girl
Lakaya,Joy,Girl
Anladeep,Brilliance,Girl
Gamiali,Kindness,Girl
Mamiya,Wisdom,Girl
Layaali,Blessing,Boy
Rashiav,Brilliance,Boy
Rilaav,Hope,Boy
Hadijit,Light,Girl
Kiniesh,Brilliance,Boy
Ayvaesh,Energy,Boy
Aryaraj,Prosperity,Boy
Trisan,Blessing,Girl
Tasajit,Brilliance,Boy
Ishnean,Wisdom,Boy
Aykaesh,Peace,Girl
Avdian,Courage,Boy
Ishpadeep,Courage,Boy
Rarideep,Joy,Boy
Arvaita,Brilliance,Boy
Latadeep,Victory,Girl
Shilaya,Strength,Girl
Zamapreet,Light,Boy
Malaesh,Light,Girl
Shinapreet,Courage,Boy
Pramia,Brilliance,Boy
Shadiit,Light,Girl
Kaneraj,Strength,Girl
Zalopreet,Love,Girl
Yanaveer,Divine,Girl
Vamideep,Harmony,Boy
Ganeraj,Courage,Girl
Chaloansh,Victory,Boy
Sharuveer,Hope,Boy
Vinaay,Strength,Boy
Rashia,Divine,Girl
Garidev,Grace,Girl
Dididev,Brilliance,Boy
Avpaansh,Wisdom,Boy
Laviesh,Joy,Boy
Yashiveer,Grace,Girl
Aykaans,Grace,Boy
Bhriya,Peace,Boy
Ripapreet,Joy,Girl
Nasaansh,Grace,Boy
Pralait,Love,Boy
Vamaav,Courage,Boy
Demadev,Light,Girl
Hamaa,Brilliance,Girl
Bavaita,Grace,Girl
Vavaans,Brilliance,Boy
Arvaesh,Hope,Girl
Yaneay,Love,Boy
Ayloraj,Brilliance,Girl
Shaniika,Grace,Girl
Aditaveer,Light,Boy
Shayapreet,Prosperity,Boy
Vishin,Prosperity,Boy
Ishlaya,Harmony,Girl
Ripaita,Harmony,Boy
Jayaa,Prosperity,Girl
Gayaan,Brilliance,Boy
Haraan,Strength,Boy
Rikan,Courage,Boy
Taruans,Divine,Girl
Tayapreet,Hope,Boy
Raloraj,Faith,Boy
Galoali,Brilliance,Boy
Chapaav,Light,Girl
Aypapreet,Love,Girl
Omyapreet,Victory,Boy
Tririit,Divine,Girl
Bashipreet,Kindness,Girl
Armaansh,Strength,Girl
Chaloa,Divine,Boy
Jatajit,Wisdom,Boy
Divaansh,Brilliance,Boy
Varajit,Light,Girl
Kayait,Courage,Boy
Shatadeep,Strength,Girl
Chaloesh,Blessing,Boy
Pasaveer,Brilliance,Girl
Avlodev,Wisdom,Girl
Lanidev,Kindness,Girl
Basaav,Love,Girl
Vaviav,Love,Girl
Karia,Brilliance,Girl
Rinaay,Strength,Girl
Hadiraj,Energy,Girl
Yataesh,Light,Girl
Aatait,Wisdom,Boy
Rashians,Prosperity,Boy
Charians,Faith,Boy
Tavijit,Love,Girl
Adimaveer,Energy,Boy
Gataraj,Divine,Boy
Gakadeep,Kindness,Boy
Shanajit,Love,Girl
Kiviit,Hope,Boy
Yaniali,Energy,Boy
Sasaay,Courage,Girl
Rikaraj,Divine,Girl
Adiloav,Energy,Girl
Shinidev,Peace,Boy
Avdideep,Victory,Boy
Desaita,Wisdom,Boy
Hanaa,Strength,Girl
Shivaali,Brilliance,Boy
Shivians,Victory,Girl
Navaita,Light,Boy
Kasait,Light,Girl
Viraali,Prosperity,Girl
Kariita,Hope,Boy
Trilaika,Courage,Boy
Ramian,Brilliance,Girl
Adiloveer,Faith,Girl
Aarshideep,Hope,Girl
Rayaa,Peace,Girl
Janedeep,Faith,Boy
Malaali,Divine,Girl
Praloveer,Love,Boy
Vitaraj,Courage,Boy
Aynaesh,Faith,Girl
Anlopreet,Energy,Girl
Taniya,Blessing,Girl
Shiruansh,Prosperity,Girl
Davaav,Energy,Boy
Hapaav,Prosperity,Boy
Aariansh,Courage,Boy
Yalaraj,Love,Boy
Sunadeep,Light,Boy
Jaruali,Kindness,Boy
Nasaansh,Divine,Girl
Ashmaa,Light,Boy
Armiveer,Light,Boy
Trimaay,Love,Boy
Diriita,Wisdom,Girl
Pravadev,Brilliance,Girl
Aaraika,Divine,Boy
Ravaa,Joy,Girl
Zasan,Strength,Girl
Aadiita,Energy,Girl
Aymapreet,Peace,Boy
Ganeraj,Divine,Boy
Sulaali,Wisdom,Girl
Diruesh,Love,Girl
Aayaali,Kindness,Girl
Bhripreet,Love,Boy
Ishtapreet,Victory,Boy
Adimaansh,Strength,Girl
Prapapreet,Hope,Girl
Adinedeep,Harmony,Girl
Adiniraj,Peace,Boy
Triraali,Light,Girl
Kaloay,Faith,Boy
Shapaans,Victory,Girl
Ishlaans,Harmony,Boy
Adishiav,Faith,Boy
Shikait,Divine,Boy
Anvaraj,Strength,Girl
Annaan,Energy,Boy
Raloans,Brilliance,Boy
Davadeep,Light,Boy
Ashmadeep,Harmony,Boy
Desaansh,Wisdom,Girl
Zaradeep,Blessing,Boy
Karuan,Harmony,Boy
Bhruika,Grace,Boy
Shipaita,Faith,Boy
Javaans,Blessing,Boy
Badiya,Prosperity,Boy
Kamideep,Light,Boy
Aarsaya,Brilliance,Boy
Adipaita,Courage,Boy
Trilaveer,Courage,Boy
Aytaa,Divine,Boy
Chanedev,Faith,Boy
Rivian,Divine,Boy
Avdiveer,Kindness,Boy
Aysajit,Hope,Boy
Triraveer,Strength,Boy
Javaika,Victory,Girl
Dakaraj,Victory,Girl
Bhloesh,Kindness,Boy
Rinijit,Peace,Girl
Aarmiit,Victory,Girl
Yaviay,Harmony,Girl
Divaav,Love,Girl
Shirin,Energy,Boy
Lamipreet,Victory,Girl
Mashian,Victory,Boy
Aavaav,Wisdom,Boy
Dinaveer,Divine,Girl
Lanideep,Kindness,Boy
Shakaav,Harmony,Girl
Riviya,Victory,Boy
Kadipreet,Blessing,Boy
Rapaali,Kindness,Girl
Kipadeep,Brilliance,Boy
Tamaali,Faith,Girl
Avvaita,Victory,Girl
Sumadeep,Light,Boy
Arriali,Grace,Girl
Tripaan,Faith,Boy
Omnedeep,Faith,Boy
Vanaa,Brilliance,Girl
Ashshiay,Victory,Girl
Rashiali,Harmony,Girl
Bhkaans,Love,Girl
Mayaita,Blessing,Girl
Kipaans,Victory,Boy
Kaloya,Light,Girl
Omsaita,Love,Girl
Deruita,Courage,Boy
Avnen,Blessing,Boy
Raneveer,Blessing,Girl
Omloans,Hope,Boy
Sakaansh,Strength,Boy
Arlaan,Prosperity,Girl
Aylaa,Courage,Boy
Shilon,Blessing,Girl
Aarnedeep,Energy,Girl
Kinin,Divine,Girl
Kariit,Joy,Boy
Kimia,Harmony,Boy
Yavaya,Blessing,Girl
Vidiay,Divine,Boy
Shalaans,Hope,Boy
Bhradeep,Kindness,Boy
Ashmiesh,Light,Boy
Vanideep,Wisdom,Boy
Zavajit,Victory,Girl
Rapapreet,Strength,Boy
Garajit,Joy,Girl
Pranen,Faith,Girl
Deshians,Blessing,Girl
Vishin,Love,Girl
Pravaay,Peace,Girl
Vashiika,Light,Girl
Madiit,Harmony,Girl
Omlaa,Grace,Girl
Kiraansh,Light,Boy
Lavaita,Divine,Boy
Ankaraj,Courage,Girl
Antaita,Courage,Boy
Anriay,Courage,Boy
Aarvin,Harmony,Boy
Naraveer,Peace,Girl
Diraans,Energy,Girl
Anvian,Wisdom,Girl
Arnaay,Wisdom,Girl
Aarlajit,Hope,Girl
Gakaya,Grace,Girl
Aarkaali,Light,Boy
Napaans,Prosperity,Girl
Diladeep,Love,Boy
Danea,Hope,Boy
Vimidev,Joy,Girl
Virua,Light,Girl
Triviansh,Harmony,Boy
Vashiav,Strength,Girl
Vineav,Kindness,Girl
Harideep,Prosperity,Girl
Hanaav,Kindness,Girl
Kinijit,Grace,Girl
Aamideep,Strength,Boy
Zamaav,Light,Boy
Layaay,Divine,Boy
Vanipreet,Hope,Boy
Bhruita,Blessing,Boy
Bhviita,Kindness,Boy
Bhneveer,Peace,Boy
Praviveer,Courage,Girl
Daloay,Peace,Boy
Palaya,Joy,Boy
Mayaya,Victory,Girl
Ridiit,Joy,Boy
Omloan,Kindness,Girl
Dariav,Joy,Boy
Zavaans,Victory,Girl
Avshiraj,Energy,Boy
Vaman,Blessing,Girl
Namaay,Brilliance,Boy
Shanen,Victory,Girl
Naneraj,Brilliance,Girl
Ditaraj,Divine,Girl
Hashideep,Energy,Girl
Nanaali,Prosperity,Boy
Yaneansh,Energy,Girl
Divia,Energy,Girl
Praran,Light,Boy
Shishideep,Courage,Boy
Harideep,Victory,Girl
Laniraj,Peace,Girl
Bakait,Harmony,Boy
Vashiita,Wisdom,Boy
Ripaay,Kindness,Boy
Hamideep,Light,Girl
Rinen,Love,Girl
Aakaav,Victory,Girl
Bhvian,Brilliance,Boy
Shayapreet,Divine,Girl
Varaita,Blessing,Girl
Nariraj,Kindness,Boy
Dinen,Energy,Girl
Ayrin,Victory,Girl
Parudeep,Harmony,Girl
Ayloay,Harmony,Boy
Ankaesh,Love,Boy
Diyajit,Grace,Boy
Avsaveer,Faith,Boy
Chavidev,Courage,Girl
Dariay,Brilliance,Girl
Tapaa,Hope,Boy
Bhdiansh,Prosperity,Girl
Deviesh,Peace,Boy
Napaan,Wisdom,Girl
Pramidev,Light,Girl
Ashnean,Prosperity,Girl
Talodeep,Courage,Boy
Armaraj,Blessing,Girl
Aavideep,Wisdom,Boy
Shamiika,Energy,Girl
Sharuraj,Grace,Boy
Rarait,Hope,Boy
Arshijit,Wisdom,Boy
Laraav,Victory,Girl
Rakaali,Prosperity,Boy
Hakaay,Victory,Girl
Vitaay,Blessing,Boy
Zamaesh,Strength,Girl
Anvaans,Peace,Girl
Takaraj,Courage,Boy
Kaneita,Victory,Boy
Dineali,Grace,Girl
Hakaraj,Kindness,Boy
Naniesh,Kindness,Boy
Zasaveer,Love,Girl
Viradeep,Peace,Boy
Galajit,Joy,Boy
Jashiav,Victory,Girl
Divaya,Strength,Girl
Kilapreet,Prosperity,Girl
Trishidev,Harmony,Girl
Omloita,Faith,Girl
Ritaansh,Love,Girl
Deparaj,Brilliance,Boy
Shavaans,Victory,Girl
Tarudev,Light,Boy
Anvaay,Wisdom,Girl
Vitadev,Victory,Boy
Rakaans,Energy,Girl
Andiya,Strength,Girl
Avsaraj,Faith,Boy
Susaansh,Energy,Girl
Ashmijit,Energy,Boy
Yataay,Peace,Boy
Anpaav,Victory,Girl
Arviali,Victory,Girl
Chasaali,Grace,Boy
Pravan,Harmony,Boy
Maloans,Strength,Girl
Shivia,Light,Girl
Ashniay,Faith,Boy
Nalaita,Energy,Boy
Detadeep,Courage,Boy
Zataya,Victory,Boy
Deyaav,Wisdom,Boy
Kikaveer,Joy,Girl
Dasadeep,Joy,Boy
Anloesh,Wisdom,Girl
Kavaans,Harmony,Boy
Bhshideep,Courage,Girl
Samapreet,Victory,Boy
Disaansh,Peace,Girl
Taruraj,Wisdom,Boy
Haloa,Grace,Girl
Lanians,Light,Girl
Tripaa,Peace,Boy
Aanaita,Divine,Boy
Pamiya,Victory,Boy
Lariika,Love,Boy
Papaa,Divine,Boy
Kivajit,Prosperity,Boy
Dapaika,Joy,Boy
Nasaraj,Light,Boy
Mapaay,Light,Boy
Taloveer,Harmony,Boy
Delaans,Wisdom,Boy
Raviali,Grace,Boy
Maniita,Strength,Girl
Ishmidev,Hope,Girl
Banapreet,Brilliance,Girl
Yaloali,Strength,Boy
Dekaan,Divine,Girl
Salaika,Hope,Girl
Aarlaans,Peace,Girl
Ishmait,Courage,Boy
Saneali,Energy,Girl
Gakaay,Strength,Boy
Zamaesh,Joy,Boy
Zamaansh,Victory,Girl
Arloa,Peace,Boy
Deloesh,Blessing,Girl
Tamaveer,Energy,Girl
Armaraj,Grace,Boy
Aynaraj,Energy,Girl
Dikaveer,Victory,Boy
Sukaans,Blessing,Girl
Rirapreet,Grace,Boy
Trishidev,Kindness,Girl
Sudiav,Divine,Boy
Dapaan,Energy,Girl
Dimaveer,Hope,Girl
Adivaraj,Courage,Girl
Tamaans,Courage,Boy
Vimadev,Blessing,Boy
Nalaansh,Victory,Boy
Shanaali,Light,Girl
Sanin,Victory,Girl
Tridiit,Energy,Girl
Narideep,Peace,Girl
Aypaansh,Kindness,Girl
Sanean,Blessing,Boy
Suneika,Light,Girl
Omnean,Strength,Girl
Shiraita,Strength,Girl
Layaansh,Light,Girl
Jasaav,Prosperity,Boy
Shalaika,Wisdom,Girl
Virijit,Hope,Boy
Dadijit,Peace,Boy
Nalaa,Courage,Boy
Ripaika,Blessing,Boy
Arnian,Energy,Boy
Ayshideep,Energy,Girl
Tatadev,Energy,Girl
Taraav,Brilliance,Boy
Kakaan,Wisdom,Girl
Adiraveer,Joy,Girl
Rataveer,Grace,Boy
Sadiav,Peace,Girl
Kishiansh,Hope,Boy
Bhruita,Blessing,Boy
Vapaali,Hope,Boy
Saloesh,Wisdom,Girl
Arnians,Faith,Girl
Vayapreet,Hope,Girl
Yariay,Divine,Boy
Deyaika,Brilliance,Boy
Haloveer,Brilliance,Boy
Armidev,Hope,Boy
Gakaesh,Strength,Girl
Bhshijit,Energy,Boy
Laviansh,Grace,Girl
Laviita,Joy,Girl
Vadin,Joy,Boy
Ashmapreet,Harmony,Girl
Arlaay,Grace,Boy
Chanaa,Divine,Girl
Chavadev,Divine,Boy
Yaria,Hope,Girl
Kakaay,Brilliance,Girl
Bakaya,Prosperity,Boy
Vinadeep,Energy,Girl
Vikan,Joy,Boy
Tririraj,Peace,Girl
Prashiika,Brilliance,Boy
Hadiansh,Faith,Boy
Ranaraj,Peace,Girl
Bhmaav,Love,Girl
Aryaya,Hope,Girl
Adivan,Harmony,Girl
Ayviay,Faith,Girl
Hadian,Kindness,Boy
Sukaay,Brilliance,Girl
Shiyaita,Hope,Boy
Ishdideep,Light,Boy
Sudiya,Prosperity,Boy
Nadian,Blessing,Boy
Ayruita,Energy,Boy
Omrians,Love,Boy
Trikaa,Kindness,Girl
Ishneita,Faith,Boy
Javin,Kindness,Boy
Adivians,Prosperity,Boy
Janajit,Strength,Girl
Bhpaika,Strength,Girl
Kiniraj,Victory,Girl
Bhdiali,Faith,Boy
Vilon,Blessing,Girl
Bhdiansh,Love,Boy
Bhkapreet,Grace,Girl
Pranipreet,Love,Girl
Pradiya,Energy,Girl
Lanipreet,Energy,Boy
Adiriansh,Harmony,Boy
Shayaita,Hope,Girl
Naruika,Divine,Boy
Sariita,Harmony,Boy
Yadiveer,Strength,Girl
Taloan,Love,Boy
Arsait,Kindness,Boy
Jasaan,Wisdom,Girl
Arvaay,Courage,Boy
Ishradev,Wisdom,Girl
Aarkaans,Victory,Girl
Vimapreet,Joy,Girl
Adiyadeep,Kindness,Boy
Chamians,Blessing,Boy
Jaruay,Peace,Girl
