Name,Gender,Meaning
Aabbee,Female,(Greek) tint of the sky at sunrise.
Aabha,Male,(Indian) light.
Aabharan,Male,(Indian) jewel.
Aabheer,Male,(Indian) cowherd.
Aabher,Male,(Indian) cowherd.
Aabriella,Female,(French) a form of Abrial.
Aacharya,Male,(Indian) teacher.
Aadarsh,Male,(Indian) one who has principles.
Aaden,Male,(Teutonic) he who distinguishes himself.
Aadesh,Male,(Indian) command; message.
Aadhishankar,Male,"(Indian) another name for Sri Shankaracharya, founder of Adwaitha philosophy."
Aadhunik,Male,(Indian) modern; new.
Aadi,Male,(Indian) first; most important.
Aadinath,Male,"(Indian) God, supreme ruler of the universe, the first god."
Aaditey,Male,(Indian) son of Aditi.
Aafreen,Male,(Indian) encouragement.
Aagney,Male,(Indian) son of the fire god.
Aahlaad,Male,(Indian) delight.
Aahlaadith,Male,(Indian) joyous person.
Aahliyah,Female,(Hebrew) a form of Aliya.
Aahron,Both,(Hebrew) enlightened.
Aahwaanith,Male,(Indian) one who has been invited; wanted.
Aailiyah,Female,(Hebrew) a form of Aliya.
Aailyah,Female,(Hebrew) a form of Aliya.
Aaisha,Female,(Swahili) life.
Aaishah,Female,(Swahili) life.
Aakaash,Male,(Indian) the sky; vast like the sky.
Aakanksh,Male,(Indian) desire.
Aakash,Male,(Hindi) a form of Akash.
Aalaina,Female,(Irish) attractive; peaceful.
Aalaiya,Female,(Hebrew) a form of Aliya.
Aalam,Male,"(Indian) ruler, king."
Aalap,Male,(Indian) musical prelude.
Aalayah,Female,(Hebrew) a form of Aliya.
Aalayaha,Female,(Hebrew) a form of Aliya.
Aalea,Female,(Hebrew) a form of Aliya.
Aaleah,Female,(Hebrew) a form of Aliya.
Aaleaha,Female,(Hebrew) a form of Aliya.
Aaleasha,Female,(Greek) a form of Alisha.
Aalecia,Female,(Greek) a form of Alicia.
Aaleeyah,Female,(Hebrew) a form of Aliya.
Aalexis,Both,(Greek) Alexis
Aalexus,Both,(Greek) Alexis
Aalexxus,Both,(Greek) Alexis
Aaleyah,Female,(Hebrew) a form of Aliya.
Aaleyiah,Female,(Hebrew) a form of Aliya.
Aaleyyah,Female,(Hebrew) a form of Aliya.
Aalia,Female,(Hebrew) a form of Aliya.
Aaliah,Female,(Hebrew) a form of Aliya.
Aaliaya,Female,(Hebrew) a form of Aliya.
Aaliayah,Female,(Hebrew) a form of Aliya.
Aaliesha,Female,(Greek) a form of Alisha.
Aalieyha,Female,(Hebrew) a form of Aliya.
Aalisha,Female,(Greek) a form of Alisha.
Aalissah,Female,"(Greek) forms of Alice, Alyssa."
Aaliya,Female,(Hebrew) a form of Aliya.
Aaliyah,Female,(Hebrew)
Aaliyaha,Female,(Hebrew) a form of Aliya.
Aaliyha,Female,(Hebrew) a form of Aliya.
Aaliysah,Female,"(Greek) forms of Alice, Alyssa."
Aalliah,Female,(Hebrew) a form of Aliya.
Aalliyah,Female,(Hebrew) a form of Aliya.
Aalok,Male,(Indian) cry of victory.
Aalyiah,Female,(Hebrew) a form of Aliya.
Aamani,Both,(Arabic) a form of Imani.
Aamber,Both,(French) Amber
Aamena,Female,"(Arabic) trustworthy, faithful."
Aami,Female,(Latin) beloved.
Aamina,Female,"(Arabic) trustworthy, faithful."
Aamir,Male,"(Hebrew, Punjabi, Arabic) a form of Amir."
Aamod,Male,(Indian) pleasant.
Aandaleeb,Male,(Indian) bulbul bird.
Aanika,Female,(Czech) familiar forms of Anna.
Aanisha,Female,"(English) forms of Agnes, Ann."
Aaniyah,Female,(Russian) a form of Anya.
Aany,Female,(Hawaiian) beautiful.
Aanya,Female,(Russian) a form of Anna.
Aanye,Female,(Hawaiian) beautiful.
Aaran,Male,(Hebrew) a form of Aaron.
Aarav,Male,(Sanskrit) peaceful.
Aaren,Both,(Hebrew) enlightened.
Aareon,Both,(Hebrew) enlightened.
Aaric,Male,(Scandinavian) forms of Eric.
Aarick,Male,(Scandinavian) forms of Eric.
Aarik,Male,(Scandinavian) forms of Eric.
Aarin,Both,(Hebrew) enlightened.
Aarnina,Female,(Hebrew) enlightened.
Aaronjames,Male,(American) a combination of Aaron + James.
Aaronn,Both,(Hebrew) enlightened.
Aarron,Male,"(Hebrew, Arabic) forms of Aaron."
Aarronn,Male,"(Hebrew, Arabic) forms of Aaron."
Aarti,Female,"(Hebrew, Hindi) a form of Arti."
Aaryn,Male,"(Hebrew, Arabic) forms of Aaron."
Aarynn,Male,"(Hebrew, Arabic) forms of Aaron."
Aashish,Male,(Indian) blessings.
Aasta,Female,(Norse) love.
Aastah,Female,(Norse) love.
Ab,Male,"(Hebrew) a short form of Abel, Abraham."
Aba,Female,"(Fante, Twi) born on Thursday."
Abaco,Male,(Hebrew) abacus.
Abad,,
Abagael,Female,(Hebrew) forms of Abigail.
Abagail,Female,(Hebrew) forms of Abigail.
Abagaile,Female,(Hebrew) forms of Abigail.
Abagale,Female,(Hebrew) forms of Abigail.
Abagayle,Female,(Hebrew) forms of Abigail.
Abageal,Female,(Hebrew) forms of Abigail.
Abagil,Female,(Hebrew) forms of Abigail.
Abah,Female,(African) born on Thursday.
Abaigael,Female,(Hebrew) father’s joy.
Abaigeal,Female,(Hebrew) father’s joy.
Abalard,Male,(German) noble; resolute.
Aban,Male,(Persian) Mythology: a figure associated with water and the arts.
Abarran,Male,(Hebrew) father of many nations.
Abasee,Male,(Swahili) stern.
Abasey,Male,(Swahili) stern.
Abasi,Male,(Swahili) stern.
Abasie,Male,(Swahili) stern.
Abasy,Male,(Swahili) stern.
Abauro,Female,(Greek) tint of the sky at sunrise.
Abb,Male,"(Hebrew) a short form of Abel, Abraham."
Abba,,
Abbagael,Female,(Hebrew) forms of Abigail.
Abbagail,Female,(Hebrew) forms of Abigail.
Abbagale,Female,(Hebrew) forms of Abigail.
Abbagayle,Female,(Hebrew) forms of Abigail.
Abbah,,
Abban,Male,(Latin) white.
Abbe,Both,(Greek) tint of the sky at sunrise.
Abbea,Female,(Greek) tint of the sky at sunrise.
Abbee,Both,(Greek) tint of the sky at sunrise.
Abbegaele,Female,(Hebrew) father’s joy.
Abbegail,Female,(Hebrew) father’s joy.
Abbegale,Female,(Hebrew) father’s joy.
Abbegayle,Female,(Hebrew) father’s joy.
Abbeigh,Female,(Greek) tint of the sky at sunrise.
Abben,Male,(Latin) white.
Abbeygale,Female,(Hebrew) father’s joy.
